(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/David_Naylor>) (14,0) :	sim: 0.717
	<http://dbpedia.org/property/mapCaption> ( 46 ) : 0.048	4.8%
	<http://dbpedia.org/property/motto> ( 48 ) : 0.048	4.8%
	<http://dbpedia.org/property/name> ( 51 ) : 0.048	4.8%
	<http://dbpedia.org/property/officialName> ( 54 ) : 0.048	4.8%
	<http://dbpedia.org/property/pushpinMap> ( 61 ) : 0.048	4.8%
	<http://dbpedia.org/property/pushpinMapCaption> ( 62 ) : 0.048	4.8%
	<http://dbpedia.org/property/unitPref> ( 75 ) : 0.048	4.8%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.048	4.8%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.048	4.8%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.048	4.8%
	<http://dbpedia.org/ontology/leaderTitle> ( 86 ) : 0.048	4.8%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.048	4.8%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Case_Western_Reserve_University>) (16,10) :	sim: 0.469
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.125	12.5%
	<http://dbpedia.org/property/campus> ( 12 ) : 0.125	12.5%
	<http://dbpedia.org/property/endowment> ( 22 ) : 0.125	12.5%
	<http://dbpedia.org/property/name> ( 51 ) : 0.125	12.5%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.125	12.5%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.125	12.5%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.125	12.5%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.125	12.5%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Toronto>) (12,2) :	sim: 0.467
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.045	4.5%
	<http://dbpedia.org/property/blank1Name> ( 9 ) : 0.045	4.5%
	<http://dbpedia.org/property/coordinatesRegion> ( 19 ) : 0.045	4.5%
	<http://dbpedia.org/property/establishedTitle> ( 25 ) : 0.045	4.5%
	<http://dbpedia.org/property/imageCaption> ( 31 ) : 0.045	4.5%
	<http://dbpedia.org/property/imageMap> ( 33 ) : 0.045	4.5%
	<http://dbpedia.org/property/imageSkyline> ( 37 ) : 0.045	4.5%
	<http://dbpedia.org/property/latns> ( 41 ) : 0.045	4.5%
	<http://dbpedia.org/property/longew> ( 45 ) : 0.045	4.5%
	<http://dbpedia.org/property/mapCaption> ( 46 ) : 0.045	4.5%
	<http://dbpedia.org/property/name> ( 51 ) : 0.045	4.5%
	<http://dbpedia.org/property/officialName> ( 54 ) : 0.045	4.5%
	<http://dbpedia.org/property/populationDemonym> ( 56 ) : 0.045	4.5%
	<http://dbpedia.org/property/postalCodeType> ( 57 ) : 0.045	4.5%
	<http://dbpedia.org/property/pushpinMap> ( 61 ) : 0.045	4.5%
	<http://dbpedia.org/property/pushpinMapCaption> ( 62 ) : 0.045	4.5%
	<http://dbpedia.org/property/unitPref> ( 75 ) : 0.045	4.5%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.045	4.5%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.045	4.5%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.045	4.5%
	<http://dbpedia.org/ontology/leaderTitle> ( 86 ) : 0.045	4.5%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.045	4.5%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Kent_State_University>) (16,8) :	sim: 0.442
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Kent_State_University>) (14,8) :	sim: 0.354
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/Lester_Lefton>) (8,4) :	sim: 0.339
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/Lester_Lefton>) (10,4) :	sim: 0.335
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/caption> ( 13 ) : 0.167	16.7%
